respond	context_0
So you steal my research project and now you want me to do your dirty work?	Mr. Millican just died, and his family needs to be notified. Since I'm still kind of new at this, I was hoping you could do it.
Unfortunately your grandfather's bowel burst, causing a severe sepsis. We were unable to save him. I'm so sorry.Again, I'm...I'm very sorry.	You're just upset because it's never easy to give someone bad news.
Oh, just breaking some bad news...circus style.	J.D., what are you doing?
The show must go on.	Break's over, Binky.
You did it!	It's weird. Just by the simple act of pushing me to do the right thing, I remembered why Carla's the woman I want to spend the rest of my life with.End of story.
Oh, man, what a long day.Still, any day can be salvaged by drinking a few cold ones with a good friend.	You did it!
Elliot, The Judge, please.	Mm.You still have a little clown makeup on you!
What the hell is she doing? It's The Judge!Oh.	Fine, I'll get it.
I can't find the clasp.	What the hell is she doing? It's The Judge!Oh.
The clasp! The clasp!	What?
Naughty!	I switched to frontsies!
We only had two.	Position One, Two, or Three?
It's a mystery how one woman can drive you crazy over and over again.While another can bring you right back down to earth.In the end, you have to trust that the perfect woman will always lead you in the right direction.	Oh, yeah. Well, I have something to show you later.
Look, Elliot, I don't want to jinx this, but, how did that just happen?	So did you ever get the guts to mail the invitations?
Sean?	You were a clown for me. You were there when I needed you without me even having to ask.
You be.She's already back with Sean.	Dude, ignore her. That's three years in a row who's feeling you?
About ninety seconds.	How soon after you guys hooked up?
What should I do?	Oooooh.
That was a huge mistake. Because the closer Turk and Carla got to their wedding, the more they became one of those annoying couples that thought they knew everything about relationships.	What should I do?
The phone call was Elliot asking me to meet her so we could talk.	Mmm.
Irrrrrv!	The phone call was Elliot asking me to meet her so we could talk.
Ehp-ehp-ehp! You look great, Irv!	I've been trying like the dickens to cut down on my snacking, but it's just so
Irv didn't look great, but I didn't have time to talk.	Ehp-ehp-ehp! You look great, Irv!
Danni!?	Irv didn't look great, but I didn't have time to talk.
When you run into someone you used to date, either you find them totally annoying or enough time has passed that you've idealized everything about them.	Danni!?
"Hey, Jay-Dee!"	Hey, J.D.
I'm actually on my way to see somebody, so, you know....	"Hey, Jay-Dee!"
Oh, be nice.	Oh, okay. I'll see you later.
Danni, wait!How've you been?	Oh, be nice.
Ooh! Gotta go!	Well, actually, I
And there she was my lady.	Ooh! Gotta go!
Hey, Elliot.	And there she was my lady.
Should we just hold each other?	J.D., I can't talk right now.
What's up....Attention, Sacred Heart! Everyone please gather 'round. Doctors, nurses, patients, hear ye, hear ye.Everyone should know that last night, Elliot Reid and I made passionate love for a good hour and a half. Check that! A _great_ hour and a half.When I hit it, I hit it good! That is all!	Sorry! Sorry! I couldn't find a parking spot! Heh.Hey, J.D. What's up?
The love of my life.	What?
You got it.	The love of my life.
Peace out, Sean.	Bye, J.D.
I know. I mean, you don't want to be rusty at sex before you throw down with your real boyfriend, do ya?	Listen, J.D.... Last night was really important to me.
I totally understand. You know, Danni and I are getting back together, too.	Look, you and I have been down this road before and we both know where it ends.
We are?	I totally understand. You know, Danni and I are getting back together, too.
Damn! I should know this!	Danni? Danni, Danni, Danni.... What was her last name?
Yes! Raspy voice!	Blonde hair!
And during. God, you never used to smoke!	What? I like smoking after sex.
Oh, I don't know, Danni. The real me's not really into that.	Yeah, but back then I was pretending to be someone I thought you wanted me to be, and that didn't work. So now.......I'm gonna let the real me come out. And the real me wants to do it again...and she wants to do it rough!
Oh, my God, Danni, I am so sorry. I thought that's what you wanted.	GIVE IT TO ME!
YAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!	It was.
Oh, no, no. I was I was in there with my buddy Danny, from the gym.	Bambi! We know you were in there with Danni. We heard you say her name!
He's a...really...good...buddy.	But we heard you say "Take it all, Danni!"
Look, maybe Danni's not the love of my life, all right? But she's she's beautiful, and she quirky, and she's very...sweet.	And WoJo's commentary on it? Priceless!
Barbara's my mom.	Man, I get so gassy after having sex.Oh, by the way, some skank named Barbara called, and I told her to back off.
In life, there are personal realizations....	Barbara's my mom.
I hate my girlfriend.	In life, there are personal realizations....
....and professional ones.	I hate my girlfriend.
But the worst are the realizations that sneak up on you.	Listen, Serpico, I go four steps out that door to my car every day. And that's important, because if I don't beat Enid home from her thighs & buns class, I have to help her peel off her leotard. So remember this: I hired you, and I can fire you.
Like when you realize you just might have a crush after all.	Oh, oh, you are so annoying; you must drive your wife insane. ...Are you married?
Oh, uh, tell her I'm not here.	Hey, Q-Tip! Some girl who says she's your girlfriend is on the phone!
Great! Have fun, I'll be over here.	Sure!
"Enjoy" is such a strong word.... I...I'm used to it. You know, like cafeteria food, or the constant threat of terrorism.	Do you even enjoy spending time with me?
Last night in bed, I knocked you unconscious!	Not really. I'm more into tough guys, you know?
So I guess...this is over.	For like _five seconds_!
So, you'd rather hang out with someone you don't even like than be alone?	Why?
Yeah, me too. I mean, come on, how many couples out there actually have fun together?	Yeah, pretty much.
Yeah, he'sWhere'd he go?	Ninety-nine! One hundred! Have you guys seen Sean?
Aw, he's a dynamite hider.	Yeah, he'sWhere'd he go?
Okay, sort away, Seany-Sean-Sean!Oh, my God!How could you do this to me?	We're both good-looking guys, am I right? We'll sort this out when I get back!
Ohh, I don't know! Come over my house, sleep with me, and then dump me the minute Sean shows up so I feel like a complete loser!	Do...what?
You know I only have one set.	Oh, you seem real crushed! I mean, you jumped into bed with Danni so quick you didn't have time to change the sheets!
Could I ask you one?	Look, J.D., can I ask you a favor?
Damn, I don't have one.	Sure, anything. What is it?
Look, Elliot! What do you want!?	Didn't have one, did ya?
I was so mad at Elliot I couldn't sleep last night. Also, Danni snores like a gutted wild boar. But mostly it was the Elliot thing.	Oh. Here's your chance!
Good.	Hey, J.D. Can I talk to you for a sec?Look, things have been a little weird between Elliot and I since I got back.
Sorry, everybody. False alarm.	J.D., listen. Did anything happen between you and Elliot while I was gone?
There comes a time when every man has to make a choice. Whether it's a professional choice...	Well?
Or whether it's a personal choice.	Come on! What are you gonna do about it?
In the end, it's about integrity.	Hey. Wanna go for a beer after the show?
And it's about chasing after what you really want.	No!
Even if that means showing you both care a little.	Here's your beer.
And sometimes...well, sometimes you just have to do what's right for your friend.	Cheers.
No. Sean, nothing happened.	And sometimes...well, sometimes you just have to do what's right for your friend.
Even if it means sacrificing your own happiness.	Hey.
When it comes down to it, you just have to be proud of the decision you make.	Giddyup, Dr. Dorkian!
Me, I was stuck at a couples-only dinner party. There were the soon-to-be newlyweds....There were the girl that I loved and the guy trying to eat her face....And then there's Danni....	Did that just happen? Anybody?
Nobody cares, Danni.	You know what I was thinking?
Hey, Turk! Where're you guys gonna live after you get married?	Oh, please.
