respond	context_0	context_1	context_2
Anyway, I have to break up with her.	Okay, okay, okay.	No, no, no, no, no. Bats and whales, bats and whales!	Oh, yeah, that's right, sonar. Wait a second, that's whales!
Danni, I'm not sure how to do this but, uh...I just don't think we should see each other anymore.	Okay, just let her down easy.	Anyway, I have to break up with her.	Okay, okay, okay.
See, like a bat, dude! Like a bat!	No, I don't!	You know what! I don't even care, you know why? Because I bet she's calling out my name while she's sleeping with him!	Whoa! I guess she wasn't calling out her own name after all!
Aaaaaaaaagh!	Check.	See, like a bat, dude! Like a bat!	No, I don't!
That's not true, is it?	Hey, J.D., don't come chasing after me like you do with Elliot. Because if there's one thing everyone knows about John Dorian, it's that he always wants what he can't have.	Mmm.	Crunchberry, wrong pipe.
I don't know. Remember back in college, when we had tickets to see Michael Jordan in the playoffs?	That's not true. Okay, you really need to stop saying that. The point is, I don't lose my cool.	His dad loved doughnuts.	Duncan?
Hey, was I supposed to bring the tickets or the sandwiches?Oh, God.	We're goin' to see Michael Jordan! We're goin' to see Michael Jordan! We're goin' to see Michael Jordan! 'Cause we got good tickets! We went five hundred miles	I don't know. Remember back in college, when we had tickets to see Michael Jordan in the playoffs?	That's not true. Okay, you really need to stop saying that. The point is, I don't lose my cool.
You shaved your head for the first time after that.	OH! NO! Leave it on the floor! You leave it on the floor!	Hey, was I supposed to bring the tickets or the sandwiches?Oh, God.	We're goin' to see Michael Jordan! We're goin' to see Michael Jordan! We're goin' to see Michael Jordan! 'Cause we got good tickets! We went five hundred miles
Why are you here? Hospitals don't sell cigarettes!	Wanting what you can't have.	You shaved your head for the first time after that.	OH! NO! Leave it on the floor! You leave it on the floor!
Quiet time, Todd.	Man, I'd smoke her.	Why are you here? Hospitals don't sell cigarettes!	Wanting what you can't have.
You know, I I don't even care what you think.	Why don't you just let her be happy with...stunningly handsome, full-lipped guy.	Mmm.	Dr. Ross, and Rachel from Bookkeeping.
And just like that I saw my window.	Yeah.... It's a little scary.	So, moving in together, huh?	My mommy said you had lollipops. Gimme a red one!
Oh, no, he killed her.	They broke up?	It _is_ scary! You know, I knew this girl in college who moved in with her boyfriend? Everything changed stopped talking to each other, started fighting all the time and...you know the rest.	And just like that I saw my window.
Could be you!	Dr. Reid? They need you to check on that stabbing victim in Room 301?	Oh, no, he killed her.	They broke up?
Nothing.	What?	Could be you!	Dr. Reid? They need you to check on that stabbing victim in Room 301?
Why are you here, Sean?	Don't do that.	Nothing.	What?
'Little House on the Prairie.'	What are we watching?	Elliot? What are you doing?	I guess the funny thing about love is you never know how things are gonna work out.Like me. I lost Elliot. But at least I went down swinging.
Well, I think you made the right choice.	J.D., it's just so weird. I mean, my whole future was right there in front of me, and I just walked away. All because of you.	As for me, all I needed was Elliot.	I love _you_!
Oh, my God! I DON'T WANT HER!	Well, Dr. Dorian, you have me. You finally have me.	I think that the problem with most people who want what they can't have is that, when they actually get the thing they covet, they don't want it anymore. But not this guy.	Well, I think you made the right choice.
Okay, not him.	Yeah?	I knew I needed to talk this over with someone who understood me. Someone I had recently been intimate with.	Wow.
He's not a celebrity!	I don't know. I thought it'd be cool to date a celebrity.	Please, Larry!What the hell you doing with that guy?	I think I'll go put on some underwear.
Are you the Soup Nazi from 'Seinfeld'?	Wait a second!	He's not a celebrity!	I don't know. I thought it'd be cool to date a celebrity.
Say the soup thing.	No.	Are you the Soup Nazi from 'Seinfeld'?	Wait a second!
Dammit!	No!	Say the soup thing.	No.
Why would I idealize women?	Well maybe it's 'cause you idealize women and no one can live up to your standards.	Look, Danni, the reason I'm here is well, first of all I wanted to give you back your skull lighter.Secondly, you always seem to have some insight in to why I'm so messed up. I mean here I-I chase after Elliot for three years, now I don't want her!	Hey, Marco! The invites said no dates!No da ....
I love you, honey. You're the smartest, handsomest, sweetest boy in the whole world. And no matter how hard you look, you will never find a woman who'll love you as much as I do.	What's your mom like?	Why would I idealize women?	Well maybe it's 'cause you idealize women and no one can live up to your standards.
My mom is perfect.	I know, Mommy.	I love you, honey. You're the smartest, handsomest, sweetest boy in the whole world. And no matter how hard you look, you will never find a woman who'll love you as much as I do.	What's your mom like?
Hm?	Look, kid, you're just confused. All you need to do is focus on the little things you love about her. Like...the way she puts out a cigarette...or how when she finishes a beer, she looks inside the can just to check if there's any left.	My mom is perfect.	I know, Mommy.
It's 5 to 9?! I gotta go!	Sweetie, it's 5 to 9, and my Denver omelet's not gonna make itself.	Hm?	Look, kid, you're just confused. All you need to do is focus on the little things you love about her. Like...the way she puts out a cigarette...or how when she finishes a beer, she looks inside the can just to check if there's any left.
What is it again? It's like, you're out of luck in the soup department?	Oh, he is so the Soup Nazi! Trick him!	It's 5 to 9?! I gotta go!	Sweetie, it's 5 to 9, and my Denver omelet's not gonna make itself.
Ha! Rad.Oooog! Ow!	NO SOUP FOR YOU!	What is it again? It's like, you're out of luck in the soup department?	Oh, he is so the Soup Nazi! Trick him!
Just lying here, watching you sleep.	What are you doing?	Ha! Rad.Oooog! Ow!	NO SOUP FOR YOU!
Morning!	The arrival of the janitors!	Then Elliot and I got to witness an event that many had spoken of, but none had ever seen.	Fine, so it's not the self-esteem thing.
No, I was I was kidding.	Is it? Is it really?	Morning!	The arrival of the janitors!
Who won?	I'd stay out of his way today. He just lost the election for union president.	No, I was I was kidding.	Is it? Is it really?
And I have uncontrollable hostility towards small rodents.	Hey, let's rent 'Kangaroo Jack' tonight!	Maybe Elliot's just not the right fit for me. I mean, I'm the kinda guy who likes stupid movies.	Oh! Cool!
Dammit, she's perfect on paper! What the hell's wrong with me?	Or we could just go shoot rats at the dump!	And I have uncontrollable hostility towards small rodents.	Hey, let's rent 'Kangaroo Jack' tonight!
I guess the Soup Nazi was right, it is the little things that are important.Or how she's the only person I know who sneezes with her eyes open.	Nothing. I just love the way you drift off in your head sometimes.	What?	Dammit, she's perfect on paper! What the hell's wrong with me?
And that's when I realized that I really liked all those things about Elliot, but I didn't love them...and I didn't love her.	Atchoo. Ahem. 'Scuse me.	I guess the Soup Nazi was right, it is the little things that are important.Or how she's the only person I know who sneezes with her eyes open.	Nothing. I just love the way you drift off in your head sometimes.
Oh, boy.	You're the best.See you later.	And that's when I realized that I really liked all those things about Elliot, but I didn't love them...and I didn't love her.	Atchoo. Ahem. 'Scuse me.
So now that you're gettin' married, it's all about you.	Dude, I would love to help right now, but I'm in the middle of writing my vows. And all I've got so far is, "Let's give it up for the caterers! WOO! Good chicken!"	How does everybody know about this?You're a very loud chewer.	Why, did you sleep with her again?
And now we live together.	Oh, it's not problem. See ya, roomie.	Hey, Elliot. Thanks for letting me crash at your place while Carla's family's in town for the wedding.	Oh. All right.
Aaagh!	Sheila!	What the?	And now we live together.
I can only assume you're saying "Let me out or I'm gonna kill ya" not gonna happen.I know! I know that makes you angry, butUh-oh!Okay! Okay! You know, I'm fine the other way! However you wanna do	Lgh mm ogh rm um ghna kghl ghu!	Aaagh!	Sheila!
the two guys, and their mom was trying to sing that song!	Oh, God! With the two guys!	How can you not remember that time we were with those	God, I can't remember the last time I saw you in this suit and tie.
